business_employee_id;permission
2;EDIT_OWN_SCHEDULE
2;EDIT_ALL_SCHEDULES
1;EDIT_OWN_SCHEDULE
1;EDIT_ALL_SCHEDULES
1;VIEW_ALL_SCHEDULE
1;CREATE_BOOKING
1;EDIT_OWN_BOOKINGS
1;EDIT_ALL_BOOKINGS
1;VIEW_SERVICES
1;EDIT_OWN_SERVICES
1;EDIT_ALL_SERVICES
1;VIEW_OWN_STATISTICS
1;VIEW_ALL_STATISTICS
1;MANAGE_EMPLOYEES
1;MANAGE_BUSINESS_SETTINGS
1;EDIT_OWN_WORKING_HOURS
1;EDIT_ALL_WORKING_HOURS
5;VIEW_ALL_SCHEDULE
5;EDIT_OWN_SCHEDULE
5;EDIT_ALL_SCHEDULES
5;CREATE_BOOKING
5;EDIT_OWN_BOOKINGS
5;EDIT_ALL_BOOKINGS
5;VIEW_SERVICES
5;EDIT_OWN_SERVICES
5;EDIT_ALL_SERVICES
5;VIEW_OWN_STATISTICS
5;VIEW_ALL_STATISTICS
5;MANAGE_EMPLOYEES
5;VIEW_EMPLOYEES
5;MANAGE_BUSINESS_SETTINGS
5;EDIT_OWN_WORKING_HOURS
5;EDIT_ALL_WORKING_HOURS
